predictor_key,predictor_title,value_column,unit,metric,lag_hours,pearson_r,p_value,ci_low,ci_high,n,direction,test_name,abs_r,predictor_metric
solar_radio_multifrequency,RSTE solar radio flux,flux_sfu,sfu,pnn50,0,0.814274653,5.019987373779888e-10,0.6686467757595027,0.8997452694094794,38,positive,Pearson r,0.814274653,RSTE solar radio flux — Flux Sfu
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,pnn50,0,0.814274653,5.019987373779888e-10,0.6686467757595027,0.8997452694094794,38,positive,Pearson r,0.814274653,RSTE solar radio flux — Frequency Mhz
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,rmssd,0,0.7808981161256056,7.3159218551442626e-09,0.6146580851571217,0.8807187325546113,38,positive,Pearson r,0.7808981161256056,RSTE solar radio flux — Frequency Mhz
solar_radio_multifrequency,RSTE solar radio flux,flux_sfu,sfu,rmssd,0,0.7808981161256056,7.3159218551442626e-09,0.6146580851571217,0.8807187325546113,38,positive,Pearson r,0.7808981161256056,RSTE solar radio flux — Flux Sfu
solar_radio_multifrequency,RSTE solar radio flux,flux_sfu,sfu,pnn20,0,0.5954232751349554,8.032995514253343e-05,0.34056551323053047,0.7687730545763396,38,positive,Pearson r,0.5954232751349554,RSTE solar radio flux — Flux Sfu
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,pnn20,0,0.5954232751349554,8.032995514253343e-05,0.34056551323053047,0.7687730545763396,38,positive,Pearson r,0.5954232751349554,RSTE solar radio flux — Frequency Mhz
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,sdnn,24,-0.565521089,5.1655955078623575e-05,-0.736754102,-0.326123564,45,negative,Pearson r,0.5655210892602592,RSTE solar radio flux — Frequency Mhz
solar_radio_multifrequency,RSTE solar radio flux,flux_sfu,sfu,sdnn,24,-0.565521089,5.1655955078623575e-05,-0.736754102,-0.326123564,45,negative,Pearson r,0.5655210892602592,RSTE solar radio flux — Flux Sfu
geospace_dst_7d,Geomagnetic Dst (7 d),dst,nT,pnn50,-3,0.5100877040828167,1.4359022489025781e-09,0.3667560091751074,0.6297651625448304,124,positive,Pearson r,0.5100877040828167,Geomagnetic Dst (7 d) — Dst
geospace_dst_7d,Geomagnetic Dst (7 d),dst,nT,rmssd,-3,0.5016627580934583,2.9338436206151948e-09,0.356915889,0.6228843262893933,124,positive,Pearson r,0.5016627580934583,Geomagnetic Dst (7 d) — Dst
goes_xray_flux,GOES x-ray flux,flux,W/m²,pnn50,-6,-0.488047881,8.94255144327263e-09,-0.611724974,-0.341081676,124,negative,Pearson r,0.48804788068725347,GOES x-ray flux — Flux
goes_xray_flux,GOES x-ray flux,observed_flux,W/m²,pnn50,-6,-0.487581796,9.282387878863938e-09,-0.611342077,-0.340541088,124,negative,Pearson r,0.4875817958089154,GOES x-ray flux — Observed Flux
geospace_dst_7d,Geomagnetic Dst (7 d),dst,nT,pnn20,-3,0.48610700562578796,1.0441316238136837e-08,0.33883119402884326,0.6101301282111227,124,positive,Pearson r,0.48610700562578796,Geomagnetic Dst (7 d) — Dst
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,sdnn,0,0.4850121497242843,0.002027306,0.19566702826232715,0.6966757178992207,38,positive,Pearson r,0.4850121497242843,RSTE solar radio flux — Frequency Mhz
solar_radio_multifrequency,RSTE solar radio flux,flux_sfu,sfu,sdnn,0,0.4850121497242843,0.002027306,0.19566702826232715,0.6966757178992207,38,positive,Pearson r,0.4850121497242843,RSTE solar radio flux — Flux Sfu
solar_wind_mag,Interplanetary magnetic field,bt,nT,mean_hr,-3,-0.455980384,1.0266896924922422e-07,-0.585245091,-0.304113571,124,negative,Pearson r,0.45598038408280395,Interplanetary magnetic field — Bt
solar_radio_multifrequency,RSTE solar radio flux,flux_sfu,sfu,mean_hr,-9,-0.452025779,1.4584220048715678e-06,-0.592991244,-0.284176494,104,negative,Pearson r,0.4520257787380353,RSTE solar radio flux — Flux Sfu
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,mean_hr,-9,-0.452025779,1.4584220048715678e-06,-0.592991244,-0.284176494,104,negative,Pearson r,0.4520257787380353,RSTE solar radio flux — Frequency Mhz
solar_wind_mag,Interplanetary magnetic field,bt,nT,pnn50,6,0.44541252384119295,2.1757875778545517e-07,0.2920301007051145,0.576457808,124,positive,Pearson r,0.44541252384119295,Interplanetary magnetic field — Bt
